"company_code","company_name","board","listing_date","industry","city","total_market_cap_yi","float_market_cap_yi","pe","is_current_year_new","market_cap_rank","is_top10_market_cap"
"920069.BJ","普昂医疗","北证","2026-03-27","专用设备制造业","杭州市",19.5094,5.4486,20.0512,TRUE,134,FALSE
"920011.BJ","晨光电机","北证","2026-04-08","电气机械和器材制造业","舟山市",19.4763,4.3822,21.5351,TRUE,135,FALSE
"920128.BJ","胜业电气","北证","2024-11-29","电气机械和器材制造业","佛山市",19.445,5.8198,177.3169,FALSE,136,FALSE
"920564.BJ","天润科技","北证","2022-06-17","软件和信息技术服务业","西安市",19.0646,5.4721,-327.232,FALSE,137,FALSE
"920033.BJ","康普化学","北证","2022-12-21","化学原料和化学制品制造业","重庆市",19.0616,6.1724,49.8196,FALSE,138,FALSE
"920403.BJ","康农种业","北证","2024-01-18","农业","宜昌市",19.0505,8.7783,22.5949,FALSE,139,FALSE
"920050.BJ","爱舍伦","北证","2026-01-21","医药制造业","苏州市",18.869,4.764,19.5385,TRUE,140,FALSE
"920218.BJ","新天力","北证","2026-05-29","橡胶和塑料制品业","台州市",18.8092,4.2321,24.2973,TRUE,141,FALSE
"920080.BJ","奥美森","北证","2025-10-10","专用设备制造业","中山市",18.6086,5.1512,23.5788,FALSE,142,FALSE
"920199.BJ","倍益康","北证","2022-12-01","计算机、通信和其他电子设备制造业","成都市",18.587,5.378,302.3767,FALSE,143,FALSE
"920092.BJ","汉鑫科技","北证","2021-11-15","软件和信息技术服务业","烟台市",18.4749,5.3363,-55.3385,FALSE,144,FALSE
"920663.BJ","明阳科技","北证","2023-03-15","汽车制造业","苏州市",18.3368,5.4795,20.9556,FALSE,145,FALSE
"920187.BJ","通领科技","北证","2026-03-05","汽车制造业","上海市",18.3222,6.7059,14.4568,TRUE,146,FALSE
"920729.BJ","永顺生物","北证","2020-07-27","医药制造业","广州市",18.3145,5.194,47.6628,FALSE,147,FALSE
"920523.BJ","德瑞锂电","北证","2021-06-03","电气机械和器材制造业","惠州市",18.295,11.5005,13.4223,FALSE,148,FALSE
"920169.BJ","七丰精工","北证","2022-04-15","通用设备制造业","嘉兴市",18.2608,7.1419,65.7446,FALSE,149,FALSE
"920706.BJ","铁拓机械","北证","2024-03-08","专用设备制造业","泉州市",18.2223,5.8442,41.4312,FALSE,150,FALSE
"920425.BJ","乐创技术","北证","2023-01-30","软件和信息技术服务业","成都市",18.1136,10.0227,40.8557,FALSE,151,FALSE
"920191.BJ","瑞尔竞达","北证","2026-04-20","非金属矿物制品业","明光市",18.0234,4.0554,18.9656,TRUE,152,FALSE
"920003.BJ","中诚咨询","北证","2025-11-07","专业技术服务业","苏州市",18.0229,3.8724,16.7068,FALSE,153,FALSE
"920158.BJ","长江能科","北证","2025-10-16","专用设备制造业","扬中市",18.005,4.8162,31.668,FALSE,154,FALSE
"920007.BJ","酉立智能","北证","2025-08-08","金属制品业","苏州市",17.8397,4.2635,24.5669,FALSE,155,FALSE
"920082.BJ","方正阀门","北证","2024-12-26","通用设备制造业","温州市",17.806,4.8304,47.6232,FALSE,156,FALSE
"920870.BJ","恒进感应","北证","2022-07-05","通用设备制造业","十堰市",17.755,4.9459,96.7403,FALSE,157,FALSE
"920726.BJ","朱老六","北证","2021-05-27","食品制造业","长春市",17.7495,4.8244,57.9257,FALSE,158,FALSE
"920689.BJ","克莱特","北证","2022-03-21","通用设备制造业","威海市",17.4398,7.1697,30.7977,FALSE,159,FALSE
"920062.BJ","科润智控","北证","2022-07-13","电气机械和器材制造业","江山市",17.361,10.6345,175.8327,FALSE,160,FALSE
"920476.BJ","海能技术","北证","2022-10-14","仪器仪表制造业","济南市",17.3341,12.0657,40.917,FALSE,161,FALSE
"920087.BJ","秋乐种业","北证","2022-12-07","农、林、牧、渔专业及辅助性活动","郑州市",17.0817,7.6672,188.6584,FALSE,162,FALSE
"920701.BJ","豪声电子","北证","2023-07-19","计算机、通信和其他电子设备制造业","嘉兴市",17.0677,4.927,26.5565,FALSE,163,FALSE
"920924.BJ","广脉科技","北证","2021-11-03","软件和信息技术服务业","杭州市",17.0601,8.4253,119.0951,FALSE,164,FALSE
"920792.BJ","东和新材","北证","2023-03-30","非金属矿物制品业","海城市",16.852,6.7138,20.923,FALSE,165,FALSE
"920166.BJ","海圣医疗","北证","2026-02-12","专用设备制造业","绍兴市",16.7379,4.8133,19.444,TRUE,166,FALSE
"920098.BJ","科隆新材","北证","2024-12-05","橡胶和塑料制品业","咸阳市",16.5487,7.5253,29.5673,FALSE,167,FALSE
"920578.BJ","巨能股份","北证","2023-05-12","通用设备制造业","银川市",16.5424,5.282,-329.0465,FALSE,168,FALSE
