"company_code","company_name","board","listing_date","province","city","industry","strategic_sector","is_bse","is_high_tech","is_specialized_new","longitude","latitude"
"920015.BJ","锦华新材","北证","2025-09-25","浙江省","衢州市","化学原料和化学制品制造业","新材料",TRUE,FALSE,FALSE,118.87263,28.941708
"920368.BJ","连城数控","北证","2020-07-27","辽宁省","大连市","专用设备制造业","高端制造",TRUE,TRUE,TRUE,121.618622,38.91459
"920174.BJ","五新智能","北证","2021-08-20","湖南省","长沙市","专用设备制造业","高端制造",TRUE,TRUE,FALSE,112.982279,28.19409
"920493.BJ","并行科技","北证","2023-11-01","北京","北京市","软件和信息技术服务业","数字经济",TRUE,TRUE,FALSE,116.405285,39.904989
"920576.BJ","天力复合","北证","2023-07-12","陕西省","西安市","有色金属冶炼和压延加工业","新材料",TRUE,FALSE,TRUE,108.948024,34.263161
"920179.BJ","凯德石英","北证","2022-03-04","北京","北京市","非金属矿物制品业","新材料",TRUE,FALSE,TRUE,116.405285,39.904989
"920640.BJ","富士达","北证","2020-07-27","陕西省","西安市","计算机、通信和其他电子设备制造业","数字经济",TRUE,TRUE,FALSE,108.948024,34.263161
"920402.BJ","硅烷科技","北证","2022-09-28","河南省","许昌市","化学原料和化学制品制造业","新材料",TRUE,FALSE,TRUE,113.826063,34.022956
"920522.BJ","纳科诺尔","北证","2023-11-16","河北省","邢台市","专用设备制造业","高端制造",TRUE,TRUE,TRUE,114.508851,37.0682
"920593.BJ","鼎智科技","北证","2023-04-13","江苏省","常州市","电气机械和器材制造业","高端制造",TRUE,TRUE,TRUE,119.946973,31.772752
"920119.BJ","美德乐","北证","2026-01-30","辽宁省","大连市","通用设备制造业","高端制造",TRUE,TRUE,FALSE,121.618622,38.91459
"920047.BJ","诺思兰德","北证","2020-11-24","北京","北京市","医药制造业","生命健康",TRUE,TRUE,TRUE,116.405285,39.904989
"920083.BJ","金戈新材","北证","2026-06-11","广东省","佛山市","非金属矿物制品业","新材料",TRUE,FALSE,FALSE,113.122717,23.028762
"920809.BJ","安达科技","北证","2023-03-23","贵州省","贵阳市","计算机、通信和其他电子设备制造业","数字经济",TRUE,TRUE,FALSE,106.713478,26.578343
"920156.BJ","海昌智能","北证","2026-04-27","河南省","鹤壁市","专用设备制造业","高端制造",TRUE,TRUE,FALSE,114.295444,35.748236
"920037.BJ","广信科技","北证","2025-06-26","湖南省","邵阳市","电气机械和器材制造业","高端制造",TRUE,TRUE,TRUE,111.46923,27.237842
"920111.BJ","聚星科技","北证","2024-11-11","浙江省","温州市","电气机械和器材制造业","高端制造",TRUE,TRUE,TRUE,120.672111,28.000575
"920139.BJ","华岭股份","北证","2022-10-28","上海","上海市","计算机、通信和其他电子设备制造业","数字经济",TRUE,TRUE,TRUE,121.472644,31.231706
"920509.BJ","同惠电子","北证","2021-01-11","江苏省","常州市","仪器仪表制造业","高端制造",TRUE,TRUE,FALSE,119.946973,31.772752
"920571.BJ","国航远洋","北证","2022-12-15","福建省","福州市","水上运输业","绿色低碳",TRUE,TRUE,TRUE,119.306239,26.075302
"920211.BJ","新睿电子","北证","2026-06-05","浙江省","临海市","仪器仪表制造业","高端制造",TRUE,TRUE,TRUE,121.221919,28.857389
"920161.BJ","龙辰科技","北证","2026-05-27","湖北省","黄冈市","计算机、通信和其他电子设备制造业","数字经济",TRUE,TRUE,FALSE,114.879365,30.447711
"920181.BJ","赛英电子","北证","2026-04-10","江苏省","江阴市","电气机械和器材制造业","高端制造",TRUE,TRUE,TRUE,120.310679,31.837425
"920239.BJ","长虹能源","北证","2021-02-09","四川省","绵阳市","电气机械和器材制造业","高端制造",TRUE,TRUE,TRUE,104.741722,31.46402
"920249.BJ","利尔达","北证","2023-02-17","浙江省","杭州市","批发业","专精特新服务",TRUE,FALSE,FALSE,120.153576,30.287459
"920971.BJ","天马新材","北证","2022-09-27","河南省","郑州市","计算机、通信和其他电子设备制造业","数字经济",TRUE,TRUE,TRUE,113.665412,34.757975
"920491.BJ","奥迪威","北证","2022-06-14","广东省","广州市","计算机、通信和其他电子设备制造业","数字经济",TRUE,TRUE,FALSE,113.280637,23.125178
"920060.BJ","万源通","北证","2024-11-19","江苏省","昆山市","计算机、通信和其他电子设备制造业","数字经济",TRUE,TRUE,TRUE,120.965808,31.328937
"920078.BJ","族兴新材","北证","2026-03-18","湖南省","宁乡市","化学原料和化学制品制造业","新材料",TRUE,FALSE,FALSE,112.360465,28.131213
"920946.BJ","森萱医药","北证","2020-07-27","江苏省","南通市","医药制造业","生命健康",TRUE,TRUE,TRUE,120.864608,32.016212
"920261.BJ","一诺威","北证","2023-04-03","山东省","淄博市","化学原料和化学制品制造业","新材料",TRUE,FALSE,TRUE,118.047648,36.814939
"920510.BJ","丰光精密","北证","2020-12-28","山东省","胶州市","通用设备制造业","高端制造",TRUE,TRUE,FALSE,119.959421,36.248031
"920220.BJ","朗信电气","北证","2026-05-22","江苏省","张家港市","汽车制造业","高端制造",TRUE,TRUE,FALSE,120.627279,31.907812
